x,y,z,timestamp
0.55,0.12,-0.24,2025-09-26 16:57:23.291
0.49,0.12,-0.18,2025-09-26 16:57:23.526
0.55,0.12,-0.24,2025-09-26 16:57:23.880
0.55,0.06,-0.18,2025-09-26 16:57:23.910
0.55,0.06,-0.24,2025-09-26 16:57:24.137
0.55,0.12,-0.24,2025-09-26 16:57:24.586
0.55,0.12,-0.24,2025-09-26 16:57:24.705
0.55,0.06,-0.24,2025-09-26 16:57:24.855
0.55,0.06,-0.24,2025-09-26 16:57:24.884
0.49,0.12,-0.18,2025-09-26 16:57:25.181
0.55,0.06,-0.24,2025-09-26 16:57:25.436
0.61,0.06,-0.24,2025-09-26 16:57:25.886
0.55,0.06,-0.24,2025-09-26 16:57:25.930
0.55,0.06,-0.24,2025-09-26 16:57:25.989
0.55,0.12,-0.18,2025-09-26 16:57:26.197
0.55,0.06,-0.24,2025-09-26 16:57:26.542
0.49,0.12,-0.24,2025-09-26 16:57:26.571
0.49,0.12,-0.24,2025-09-26 16:57:26.799
0.55,0.12,-0.24,2025-09-26 16:57:27.109
0.55,0.12,-0.24,2025-09-26 16:57:27.147
0.55,0.06,-0.24,2025-09-26 16:57:27.444
0.55,0.06,-0.24,2025-09-26 16:57:27.720
0.55,0.06,-0.24,2025-09-26 16:57:27.746
0.55,0.06,-0.24,2025-09-26 16:57:28.026
0.55,0.12,-0.18,2025-09-26 16:57:28.387
0.55,0.06,-0.24,2025-09-26 16:57:28.415
0.55,0.12,-0.24,2025-09-26 16:57:28.646
0.55,0.06,-0.24,2025-09-26 16:57:28.949
0.49,0.06,-0.24,2025-09-26 16:57:28.983
0.49,0.12,-0.24,2025-09-26 16:57:29.313
0.55,0.12,-0.18,2025-09-26 16:57:29.614
0.55,0.06,-0.24,2025-09-26 16:57:29.639
0.55,0.06,-0.24,2025-09-26 16:57:29.922
0.55,0.06,-0.24,2025-09-26 16:57:30.185
0.49,0.12,-0.24,2025-09-26 16:57:30.212
0.55,0.06,-0.24,2025-09-26 16:57:30.536
0.49,0.12,-0.18,2025-09-26 16:57:30.844
0.55,0.12,-0.24,2025-09-26 16:57:30.869
0.55,0.06,-0.24,2025-09-26 16:57:31.101
0.49,0.12,-0.24,2025-09-26 16:57:31.408
0.55,0.12,-0.24,2025-09-26 16:57:31.435
0.55,0.12,-0.24,2025-09-26 16:57:31.715
0.55,0.12,-0.24,2025-09-26 16:57:32.080
0.55,0.06,-0.18,2025-09-26 16:57:32.106
0.55,0.06,-0.24,2025-09-26 16:57:32.330
0.55,0.06,-0.18,2025-09-26 16:57:32.689
0.55,0.12,-0.24,2025-09-26 16:57:32.722
0.55,0.12,-0.24,2025-09-26 16:57:32.951
0.55,0.12,-0.24,2025-09-26 16:57:33.250
0.55,0.12,-0.24,2025-09-26 16:57:33.276
0.55,0.12,-0.24,2025-09-26 16:57:33.556
0.55,0.12,-0.24,2025-09-26 16:57:33.863
0.55,0.12,-0.24,2025-09-26 16:57:33.890
0.55,0.12,-0.24,2025-09-26 16:57:34.173
0.49,0.12,-0.24,2025-09-26 16:57:34.484
0.55,0.12,-0.24,2025-09-26 16:57:34.538
0.55,0.06,-0.18,2025-09-26 16:57:34.788
0.55,0.12,-0.24,2025-09-26 16:57:35.813
0.49,0.12,-0.18,2025-09-26 16:57:35.858
0.49,0.12,-0.24,2025-09-26 16:57:35.887
0.55,0.06,-0.18,2025-09-26 16:57:36.149
0.55,0.12,-0.24,2025-09-26 16:57:36.578
0.49,0.12,-0.24,2025-09-26 16:57:36.617
0.55,0.06,-0.24,2025-09-26 16:57:36.691
0.55,0.06,-0.24,2025-09-26 16:57:36.736
0.55,0.06,-0.24,2025-09-26 16:57:36.768
0.49,0.06,-0.24,2025-09-26 16:57:36.999
0.49,0.12,-0.24,2025-09-26 16:57:37.024
0.55,0.12,-0.18,2025-09-26 16:57:37.250
0.55,0.12,-0.24,2025-09-26 16:57:37.553
0.55,0.12,-0.24,2025-09-26 16:57:37.577
0.55,0.12,-0.24,2025-09-26 16:57:37.895
0.55,0.06,-0.24,2025-09-26 16:57:38.264
0.55,0.06,-0.18,2025-09-26 16:57:38.296
0.49,0.06,-0.24,2025-09-26 16:57:38.473
0.55,0.12,-0.24,2025-09-26 16:57:38.831
0.55,0.06,-0.24,2025-09-26 16:57:38.895
0.55,0.06,-0.24,2025-09-26 16:57:39.395
0.55,0.12,-0.18,2025-09-26 16:57:39.432
0.55,0.06,-0.24,2025-09-26 16:57:39.543
0.49,0.06,-0.24,2025-09-26 16:57:39.800
0.55,0.12,-0.24,2025-09-26 16:57:39.844
0.55,0.12,-0.24,2025-09-26 16:57:40.136
