timestamp,temperature,humidity
2025-09-20 16:49:01,20.60,40.40
2025-09-20 16:49:03,20.60,40.40
2025-09-20 16:49:05,20.60,40.50
2025-09-20 16:49:07,20.60,40.60
2025-09-20 16:49:09,20.60,40.60
2025-09-20 16:49:11,20.60,40.60
2025-09-20 16:49:13,20.60,40.50
2025-09-20 16:49:15,20.60,40.50
2025-09-20 16:49:17,20.60,40.60
2025-09-20 16:49:19,20.60,40.60
2025-09-20 16:49:22,20.60,40.70
2025-09-20 16:49:24,20.50,40.70
2025-09-20 16:49:26,20.50,40.70
2025-09-20 16:49:28,20.50,40.70
2025-09-20 16:49:30,20.50,40.70
2025-09-20 16:49:32,20.50,40.60
2025-09-20 16:49:34,20.50,40.70
2025-09-20 16:49:36,20.50,40.70
2025-09-20 16:49:38,20.50,40.70
2025-09-20 16:49:40,20.50,40.50
2025-09-20 16:49:42,20.50,40.30
2025-09-20 16:49:44,20.50,40.10
2025-09-20 16:49:46,20.50,40.00
2025-09-20 16:49:49,20.50,39.60
2025-09-20 16:49:51,20.40,39.40
2025-09-20 16:49:53,20.40,39.50
2025-09-20 16:49:55,20.40,39.40
2025-09-20 16:49:57,20.40,39.50
2025-09-20 16:49:59,20.40,39.70
2025-09-20 16:50:01,20.40,39.70
2025-09-20 16:50:03,20.40,39.80
2025-09-20 16:50:05,20.40,39.90
2025-09-20 16:50:07,20.40,39.80
2025-09-20 16:50:09,20.40,39.90
2025-09-20 16:50:11,20.30,40.00
2025-09-20 16:50:13,20.40,40.10
2025-09-20 16:50:16,20.30,40.10
2025-09-20 16:50:18,20.30,40.10
2025-09-20 16:50:20,20.30,40.30
2025-09-20 16:50:22,20.30,40.40
2025-09-20 16:50:24,20.30,40.50
2025-09-20 16:50:26,20.30,40.80
2025-09-20 16:50:28,20.30,40.70
2025-09-20 16:50:30,20.30,40.70
2025-09-20 16:50:32,20.30,40.60
2025-09-20 16:50:34,20.30,40.50
2025-09-20 16:50:36,20.30,40.40
2025-09-20 16:50:38,20.30,40.30
2025-09-20 16:50:40,20.30,40.20
2025-09-20 16:50:43,20.30,40.20
2025-09-20 16:50:45,20.20,40.30
2025-09-20 16:50:47,20.20,40.20
2025-09-20 16:50:49,20.20,40.40
2025-09-20 16:50:51,20.20,40.30
2025-09-20 16:50:53,20.20,40.40
2025-09-20 16:50:55,20.20,40.50
2025-09-20 16:50:57,20.20,40.50
2025-09-20 16:50:59,20.20,40.70
2025-09-20 16:51:01,20.20,40.80
